"Variables" "fillvalues"
"volume" 0
"nominal_dz" 0
"dz" 0
"numlayers" 0
"hdsource" 0
"hdsink" 0
"eflux" 0
"vflux" 0
"porosity" 0
"topk" 0
"sedbiodepth" 0.2
"seddetdepth" 0.25
"sedoxdepth" 0.1
"sedbiodens" 100
"sedirrigenh" 0
"sedturbenh" 1e-06
"erosion_rate" 4e-07
"reef" 0.2
"flat" 0.8
"soft" 0.8
"canyon" 0
"eddy" 0.8
"water" 1
"Rugosity" 0
"AragoniteSaturation" 0
"NH3" 77
"NO3" 77
"DON" 56.0268
"MicroNut" 0
"Oxygen" 8000
"Si" 70
"Det_Si" 1
"SED" 0
"Light" 0
"DayLight" 0
"Temp" 15
"salt" 35
"Denitrifiction" 0
"Nitrification" 0
"Chl_a" 0
"Stress" 0
"DiagNGain" 0
"DiagNLoss" 0
"DiagNFlux" 0
"Ice_Diatoms_N" 0
"Ice_Diatoms_S" 0
"Ice_Diatoms_F" 0
"Light_Adaptn_IPL" 0
"Ice_Mixotrophs_N" 0
"Ice_Mixotrophs_F" 0
"Light_Adaptn_IDF" 0
"Pelagic_Picophytoplankton_N" 0
"Pelagic_Picophytoplankton_F" 0
"Light_Adaptn_PPS" 0
"Pelagic_Diatoms_N" 0
"Pelagic_Diatoms_S" 0.3
"Pelagic_Diatoms_F" 0
"Light_Adaptn_PPL" 0
"Pelagic_Dinoflagellates_N" 0
"Pelagic_Dinoflagellates_F" 0
"Light_Adaptn_PDF" 0
"Ice_Zoobiota_N" 0
"Copepods_N" 1.11
"Salps_N" 1
"Benthos_N" 0
"Pelagic_Bacteria_N" 2.52631578947368
"Sediment_bacteria_N" 0.122807
"Ice_Bacteria_N" 100
"Labile_Detritus_N" 42.9385964912281
"Refractory_Detritus_N" 42.9385964912281
"Carrion_N" 0
"Cephalopod_N1" 0.001
"Cephalopod_N2" 0.001
"Ice_Krill_N" 0
"Ice_Krill1_Nums" 0
"Ice_Krill2_Nums" 0
"Ice_Krill3_Nums" 0
"Ice_Krill4_Nums" 0
"Ice_Krill5_Nums" 0
"Ice_Krill1_StructN" 0.0243347848552545
"Ice_Krill2_StructN" 0.120923874279365
"Ice_Krill3_StructN" 0.249904117368441
"Ice_Krill4_StructN" 0.373902231075962
"Ice_Krill5_StructN" 0.476854686180272
"Ice_Krill1_ResN" 0.300129013214805
"Ice_Krill2_ResN" 1.4913944494455
"Ice_Krill3_ResN" 3.08215078087744
"Ice_Krill4_ResN" 4.61146084993686
"Ice_Krill5_ResN" 5.88120779622336
"Antarctic_Krill_N" 0
"Antarctic_Krill_F" 0.001
"Antarctic_Krill1_Nums" 0
"Antarctic_Krill2_Nums" 0
"Antarctic_Krill3_Nums" 0
"Antarctic_Krill4_Nums" 0
"Antarctic_Krill5_Nums" 0
"Antarctic_Krill6_Nums" 0
"Antarctic_Krill1_StructN" 0.140697870184675
"Antarctic_Krill2_StructN" 0.569082892426714
"Antarctic_Krill3_StructN" 1.06652357547852
"Antarctic_Krill4_StructN" 1.49569052086892
"Antarctic_Krill5_StructN" 1.82008385125663
"Antarctic_Krill6_StructN" 2.04888517732176
"Antarctic_Krill1_ResN" 1.73527373227766
"Antarctic_Krill2_ResN" 7.01868900659614
"Antarctic_Krill3_ResN" 13.153790764235
"Antarctic_Krill4_ResN" 18.4468497573833
"Antarctic_Krill5_ResN" 22.4477008321651
"Antarctic_Krill6_ResN" 25.2695838536351
"Fish_Mesopelagic_N" 0
"Fish_Mesopelagic1_Nums" 0
"Fish_Mesopelagic2_Nums" 0
"Fish_Mesopelagic3_Nums" 0
"Fish_Mesopelagic4_Nums" 0
"Fish_Mesopelagic1_StructN" 5.83983205237424
"Fish_Mesopelagic2_StructN" 32.9750601248477
"Fish_Mesopelagic3_StructN" 71.8143306273357
"Fish_Mesopelagic4_StructN" 110.080324707466
"Fish_Mesopelagic1_ResN" 15.4734236132252
"Fish_Mesopelagic2_ResN" 87.3718746373703
"Fish_Mesopelagic3_ResN" 190.281766552722
"Fish_Mesopelagic4_ResN" 291.672685173797
"Fish_Benthopelagic_N" 0
"Fish_Benthopelagic1_Nums" 0
"Fish_Benthopelagic2_Nums" 0
"Fish_Benthopelagic3_Nums" 0
"Fish_Benthopelagic4_Nums" 0
"Fish_Benthopelagic5_Nums" 0
"Fish_Benthopelagic6_Nums" 0
"Fish_Benthopelagic7_Nums" 0
"Fish_Benthopelagic8_Nums" 0
"Fish_Benthopelagic9_Nums" 0
"Fish_Benthopelagic10_Nums" 0
"Fish_Benthopelagic11_Nums" 0
"Fish_Benthopelagic12_Nums" 0
"Fish_Benthopelagic13_Nums" 0
"Fish_Benthopelagic14_Nums" 0
"Fish_Benthopelagic15_Nums" 0
"Fish_Benthopelagic16_Nums" 0
"Fish_Benthopelagic17_Nums" 0
"Fish_Benthopelagic18_Nums" 0
"Fish_Benthopelagic19_Nums" 0
"Fish_Benthopelagic20_Nums" 0
"Fish_Benthopelagic1_StructN" 4266.45811642826
"Fish_Benthopelagic2_StructN" 13004.7574371894
"Fish_Benthopelagic3_StructN" 27898.586874124
"Fish_Benthopelagic4_StructN" 49234.9256323297
"Fish_Benthopelagic5_StructN" 76750.3488480085
"Fish_Benthopelagic6_StructN" 109829.285516611
"Fish_Benthopelagic7_StructN" 147657.222164433
"Fish_Benthopelagic8_StructN" 189332.468843036
"Fish_Benthopelagic9_StructN" 233943.836239889
"Fish_Benthopelagic10_StructN" 280621.801597645
"Fish_Benthopelagic11_StructN" 328569.81881482
"Fish_Benthopelagic12_StructN" 377081.217392941
"Fish_Benthopelagic13_StructN" 425545.964847383
"Fish_Benthopelagic14_StructN" 473450.553503387
"Fish_Benthopelagic15_StructN" 520373.441745808
"Fish_Benthopelagic16_StructN" 565977.8216267
"Fish_Benthopelagic17_StructN" 610002.975780774
"Fish_Benthopelagic18_StructN" 652255.100499762
"Fish_Benthopelagic19_StructN" 692598.183835652
"Fish_Benthopelagic20_StructN" 730945.316310636
"Fish_Benthopelagic1_ResN" 11304.5569070325
"Fish_Benthopelagic2_ResN" 34457.8609467134
"Fish_Benthopelagic3_ResN" 73921.0732504161
"Fish_Benthopelagic4_ResN" 130454.583974713
"Fish_Benthopelagic5_ResN" 203360.413371001
"Fish_Benthopelagic6_ResN" 291007.522938174
"Fish_Benthopelagic7_ResN" 391237.749238607
"Fish_Benthopelagic8_ResN" 501661.942992863
"Fish_Benthopelagic9_ResN" 619865.785073574
"Fish_Benthopelagic10_ResN" 743545.357517848
"Fish_Benthopelagic11_ResN" 870590.103867006
"Fish_Benthopelagic12_ResN" 999127.605209032
"Fish_Benthopelagic13_ResN" 1127541.49809927
"Fish_Benthopelagic14_ResN" 1254471.17461117
"Fish_Benthopelagic15_ResN" 1378799.70331188
"Fish_Benthopelagic16_ResN" 1499634.66606199
"Fish_Benthopelagic17_ResN" 1616285.25699577
"Fish_Benthopelagic18_ResN" 1728237.96701762
"Fish_Benthopelagic19_ResN" 1835132.41410468
"Fish_Benthopelagic20_ResN" 1936738.31985957
"Seal_Fish_N" 0
"Seal_Fish1_Nums" 0
"Seal_Fish2_Nums" 0
"Seal_Fish3_Nums" 0
"Seal_Fish4_Nums" 0
"Seal_Fish5_Nums" 0
"Seal_Fish6_Nums" 0
"Seal_Fish7_Nums" 0
"Seal_Fish8_Nums" 0
"Seal_Fish9_Nums" 0
"Seal_Fish10_Nums" 0
"Seal_Fish1_StructN" 1287092.41874736
"Seal_Fish2_StructN" 8442824.93305722
"Seal_Fish3_StructN" 19931962.2373017
"Seal_Fish4_StructN" 32518221.1026943
"Seal_Fish5_StructN" 44131539.4090413
"Seal_Fish6_StructN" 53894438.2866355
"Seal_Fish7_StructN" 61656508.3561531
"Seal_Fish8_StructN" 67613018.148868
"Seal_Fish9_StructN" 72078514.1291921
"Seal_Fish10_StructN" 75373899.0844686
"Seal_Fish1_ResN" 3410794.90968051
"Seal_Fish2_ResN" 22373486.0726016
"Seal_Fish3_ResN" 52819699.9288494
"Seal_Fish4_ResN" 86173285.9221398
"Seal_Fish5_ResN" 116948579.433959
"Seal_Fish6_ResN" 142820261.459584
"Seal_Fish7_ResN" 163389747.143806
"Seal_Fish8_ResN" 179174498.0945
"Seal_Fish9_ResN" 191008062.442359
"Seal_Fish10_ResN" 199740832.573842
"Seal_Krill_N" 0
"Seal_Krill1_Nums" 0
"Seal_Krill2_Nums" 0
"Seal_Krill3_Nums" 0
"Seal_Krill4_Nums" 0
"Seal_Krill5_Nums" 0
"Seal_Krill6_Nums" 0
"Seal_Krill7_Nums" 0
"Seal_Krill8_Nums" 0
"Seal_Krill9_Nums" 0
"Seal_Krill10_Nums" 0
"Seal_Krill1_StructN" 501787.082738531
"Seal_Krill2_StructN" 1452906.71854553
"Seal_Krill3_StructN" 1652048.59191553
"Seal_Krill4_StructN" 1682690.28434925
"Seal_Krill5_StructN" 1687214.16521098
"Seal_Krill6_StructN" 1687878.07835817
"Seal_Krill7_StructN" 1687975.42728396
"Seal_Krill8_StructN" 1687989.69962883
"Seal_Krill9_StructN" 1687991.79206072
"Seal_Krill10_StructN" 1687992.09882595
"Seal_Krill1_ResN" 1329735.76925711
"Seal_Krill2_ResN" 3850202.80414565
"Seal_Krill3_ResN" 4377928.76857616
"Seal_Krill4_ResN" 4459129.25352552
"Seal_Krill5_ResN" 4471117.53780908
"Seal_Krill6_ResN" 4472876.90764915
"Seal_Krill7_ResN" 4473134.88230249
"Seal_Krill8_ResN" 4473172.70401641
"Seal_Krill9_ResN" 4473178.24896091
"Seal_Krill10_ResN" 4473179.06188876
"Penguin_Krill_N" 0
"Penguin_Krill1_Nums" 0
"Penguin_Krill2_Nums" 0
"Penguin_Krill3_Nums" 0
"Penguin_Krill4_Nums" 0
"Penguin_Krill5_Nums" 0
"Penguin_Krill6_Nums" 0
"Penguin_Krill7_Nums" 0
"Penguin_Krill8_Nums" 0
"Penguin_Krill9_Nums" 0
"Penguin_Krill10_Nums" 0
"Penguin_Krill11_Nums" 0
"Penguin_Krill12_Nums" 0
"Penguin_Krill13_Nums" 0
"Penguin_Krill14_Nums" 0
"Penguin_Krill15_Nums" 0
"Penguin_Krill1_StructN" 16582.5522710887
"Penguin_Krill2_StructN" 16582.5522710887
"Penguin_Krill3_StructN" 16582.5522710887
"Penguin_Krill4_StructN" 16582.5522710887
"Penguin_Krill5_StructN" 16582.5522710887
"Penguin_Krill6_StructN" 16582.5522710887
"Penguin_Krill7_StructN" 16582.5522710887
"Penguin_Krill8_StructN" 16582.5522710887
"Penguin_Krill9_StructN" 16582.5522710887
"Penguin_Krill10_StructN" 16582.5522710887
"Penguin_Krill11_StructN" 16582.5522710887
"Penguin_Krill12_StructN" 16582.5522710887
"Penguin_Krill13_StructN" 16582.5522710887
"Penguin_Krill14_StructN" 16582.5522710887
"Penguin_Krill15_StructN" 16582.5522710887
"Penguin_Krill1_ResN" 43943.763518385
"Penguin_Krill2_ResN" 43943.763518385
"Penguin_Krill3_ResN" 43943.763518385
"Penguin_Krill4_ResN" 43943.763518385
"Penguin_Krill5_ResN" 43943.763518385
"Penguin_Krill6_ResN" 43943.763518385
"Penguin_Krill7_ResN" 43943.763518385
"Penguin_Krill8_ResN" 43943.763518385
"Penguin_Krill9_ResN" 43943.763518385
"Penguin_Krill10_ResN" 43943.763518385
"Penguin_Krill11_ResN" 43943.763518385
"Penguin_Krill12_ResN" 43943.763518385
"Penguin_Krill13_ResN" 43943.763518385
"Penguin_Krill14_ResN" 43943.763518385
"Penguin_Krill15_ResN" 43943.763518385
"Penguin_Fish_N" 0
"Penguin_Fish1_Nums" 0
"Penguin_Fish2_Nums" 0
"Penguin_Fish3_Nums" 0
"Penguin_Fish4_Nums" 0
"Penguin_Fish5_Nums" 0
"Penguin_Fish6_Nums" 0
"Penguin_Fish7_Nums" 0
"Penguin_Fish8_Nums" 0
"Penguin_Fish9_Nums" 0
"Penguin_Fish10_Nums" 0
"Penguin_Fish1_StructN" 96130.7378034126
"Penguin_Fish2_StructN" 96130.7378034126
"Penguin_Fish3_StructN" 96130.7378034126
"Penguin_Fish4_StructN" 96130.7378034126
"Penguin_Fish5_StructN" 96130.7378034126
"Penguin_Fish6_StructN" 96130.7378034126
"Penguin_Fish7_StructN" 96130.7378034126
"Penguin_Fish8_StructN" 96130.7378034126
"Penguin_Fish9_StructN" 96130.7378034126
"Penguin_Fish10_StructN" 96130.7378034126
"Penguin_Fish1_ResN" 254746.455179043
"Penguin_Fish2_ResN" 254746.455179043
"Penguin_Fish3_ResN" 254746.455179043
"Penguin_Fish4_ResN" 254746.455179043
"Penguin_Fish5_ResN" 254746.455179043
"Penguin_Fish6_ResN" 254746.455179043
"Penguin_Fish7_ResN" 254746.455179043
"Penguin_Fish8_ResN" 254746.455179043
"Penguin_Fish9_ResN" 254746.455179043
"Penguin_Fish10_ResN" 254746.455179043
"Flying_Seabirds_N" 0
"Flying_Seabirds1_Nums" 0
"Flying_Seabirds2_Nums" 0
"Flying_Seabirds3_Nums" 0
"Flying_Seabirds4_Nums" 0
"Flying_Seabirds5_Nums" 0
"Flying_Seabirds6_Nums" 0
"Flying_Seabirds7_Nums" 0
"Flying_Seabirds8_Nums" 0
"Flying_Seabirds9_Nums" 0
"Flying_Seabirds10_Nums" 0
"Flying_Seabirds11_Nums" 0
"Flying_Seabirds12_Nums" 0
"Flying_Seabirds13_Nums" 0
"Flying_Seabirds14_Nums" 0
"Flying_Seabirds15_Nums" 0
"Flying_Seabirds16_Nums" 0
"Flying_Seabirds17_Nums" 0
"Flying_Seabirds18_Nums" 0
"Flying_Seabirds19_Nums" 0
"Flying_Seabirds20_Nums" 0
"Flying_Seabirds1_StructN" 24032.6844508532
"Flying_Seabirds2_StructN" 24032.6844508532
"Flying_Seabirds3_StructN" 24032.6844508532
"Flying_Seabirds4_StructN" 24032.6844508532
"Flying_Seabirds5_StructN" 24032.6844508532
"Flying_Seabirds6_StructN" 24032.6844508532
"Flying_Seabirds7_StructN" 24032.6844508532
"Flying_Seabirds8_StructN" 24032.6844508532
"Flying_Seabirds9_StructN" 24032.6844508532
"Flying_Seabirds10_StructN" 24032.6844508532
"Flying_Seabirds11_StructN" 24032.6844508532
"Flying_Seabirds12_StructN" 24032.6844508532
